DOL Year,Species Code,Species Name,Number Of Animals (sum),Landed Weight (sum),Region,Region Desc,Management Area
1986,400,"salmon, roe (unknown species)",4,66477,1,Southeastern Region,D
1986,400,"salmon, roe (unknown species)",0,1342,2,Central Region,H
1986,400,"salmon, roe (unknown species)",10,154,2,Central Region,T
1986,400,"salmon, roe (unknown species)",0,272461,3,A-Y-K Region,Y
1986,400,"salmon, roe (unknown species)",0,6,4,Westward Region,K
1986,410,"salmon, chinook",61714,1029619,1,Southeastern Region,A
1986,410,"salmon, chinook",53491,871104,1,Southeastern Region,B
1986,410,"salmon, chinook",26844,358316,1,Southeastern Region,C
1986,410,"salmon, chinook",122057,2236950,1,Southeastern Region,D
1986,410,"salmon, chinook",42128,1086579,2,Central Region,E
1986,410,"salmon, chinook",40061,1033986,2,Central Region,H
1986,410,"salmon, chinook",93716,1745722,2,Central Region,T
1986,410,"salmon, chinook",44972,762445,3,A-Y-K Region,W
1986,410,"salmon, chinook",101,1657,3,A-Y-K Region,X
1986,410,"salmon, chinook",99970,2021169,3,A-Y-K Region,Y
1986,410,"salmon, chinook",6395,133161,3,A-Y-K Region,Z
1986,410,"salmon, chinook",4381,66901,4,Westward Region,K
1986,410,"salmon, chinook",3037,66772,4,Westward Region,L
1986,410,"salmon, chinook",17340,300187,4,Westward Region,M
1986,411,"chinook, sm.",5,28,1,Southeastern Region,A
1986,411,"chinook, sm.",471,2063,1,Southeastern Region,B
1986,411,"chinook, sm.",56,288,1,Southeastern Region,C
1986,411,"chinook, sm.",626,2365,1,Southeastern Region,D
1986,420,"salmon, sockeye",521960,3632796,1,Southeastern Region,A
1986,420,"salmon, sockeye",749234,4559762,1,Southeastern Region,B
1986,420,"salmon, sockeye",157143,990798,1,Southeastern Region,C
1986,420,"salmon, sockeye",14647,74414,1,Southeastern Region,D
1986,420,"salmon, sockeye",1288213,7880559,2,Central Region,E
1986,420,"salmon, sockeye",5029612,28686368,2,Central Region,H
1986,420,"salmon, sockeye",15776065,95817057,2,Central Region,T
1986,420,"salmon, sockeye",142029,1016228,3,A-Y-K Region,W
1986,420,"salmon, sockeye",233,1765,3,A-Y-K Region,Z
1986,420,"salmon, sockeye",3188049,18533328,4,Westward Region,K
1986,420,"salmon, sockeye",1645834,11254860,4,Westward Region,L
1986,420,"salmon, sockeye",3694526,22111517,4,Westward Region,M
1986,430,"salmon, coho",533769,4499158,1,Southeastern Region,A
1986,430,"salmon, coho",1261946,9597386,1,Southeastern Region,B
1986,430,"salmon, coho",308598,2581278,1,Southeastern Region,C
1986,430,"salmon, coho",1299766,9174566,1,Southeastern Region,D
1986,430,"salmon, coho",425747,4084343,2,Central Region,E
1986,430,"salmon, coho",776755,5017743,2,Central Region,H
1986,430,"salmon, coho",182075,1223792,2,Central Region,T
1986,430,"salmon, coho",736910,4716482,3,A-Y-K Region,W
1986,430,"salmon, coho",47281,299711,3,A-Y-K Region,Y
1986,430,"salmon, coho",35624,245568,3,A-Y-K Region,Z
1986,430,"salmon, coho",168690,1464701,4,Westward Region,K
1986,430,"salmon, coho",116633,867195,4,Westward Region,L
1986,430,"salmon, coho",400055,2838267,4,Westward Region,M
1986,440,"salmon, pink",353927,1094332,1,Southeastern Region,A
1986,440,"salmon, pink",43657533,145466619,1,Southeastern Region,B
1986,440,"salmon, pink",1834791,6048739,1,Southeastern Region,C
1986,440,"salmon, pink",326026,999381,1,Southeastern Region,D
1986,440,"salmon, pink",11425794,35029443,2,Central Region,E
1986,440,"salmon, pink",2709626,9647332,2,Central Region,H
1986,440,"salmon, pink",401287,1411645,2,Central Region,T
1986,440,"salmon, pink",16561,57504,3,A-Y-K Region,W
1986,440,"salmon, pink",41260,133319,3,A-Y-K Region,Z
1986,440,"salmon, pink",11809223,43179670,4,Westward Region,K
1986,440,"salmon, pink",647125,2374311,4,Westward Region,L
1986,440,"salmon, pink",4096738,13860007,4,Westward Region,M
1986,450,"salmon, chum",542592,5300952,1,Southeastern Region,A
1986,450,"salmon, chum",1700256,14836509,1,Southeastern Region,B
1986,450,"salmon, chum",317020,2694133,1,Southeastern Region,C
1986,450,"salmon, chum",799123,6826322,1,Southeastern Region,D
1986,450,"salmon, chum",1705426,14224661,2,Central Region,E
1986,450,"salmon, chum",1228810,9170601,2,Central Region,H
1986,450,"salmon, chum",1227135,7978359,2,Central Region,T
1986,450,"salmon, chum",349269,2364747,3,A-Y-K Region,W
1986,450,"salmon, chum",261436,2271320,3,A-Y-K Region,X
1986,450,"salmon, chum",860886,5977622,3,A-Y-K Region,Y
1986,450,"salmon, chum",146917,1011824,3,A-Y-K Region,Z
1986,450,"salmon, chum",1134397,8450520,4,Westward Region,K
1986,450,"salmon, chum",176640,1304418,4,Westward Region,L
1986,450,"salmon, chum",2059686,14681939,4,Westward Region,M
1986,500,"pike, northern",656,4368,3,A-Y-K Region,X
1986,510,"smelt, general",35,422,2,Central Region,T
1986,515,"smelt, surf",0,8000,1,Southeastern Region,C
1986,520,"char, Arctic (general)",5,34,3,A-Y-K Region,X
1986,540,"trout, steelhead",561,4240,1,Southeastern Region,A
1986,540,"trout, steelhead",9528,87286,1,Southeastern Region,B
1986,540,"trout, steelhead",1352,10786,1,Southeastern Region,C
1986,540,"trout, steelhead",158,1559,1,Southeastern Region,D
1986,570,inconnu (sheefish),26,312,3,A-Y-K Region,X
1986,570,inconnu (sheefish),111,1485,3,A-Y-K Region,Y
1986,580,"whitefish, general",12,23,2,Central Region,T
1986,580,"whitefish, general",616,1848,3,A-Y-K Region,X
1986,580,"whitefish, general",482,1820,3,A-Y-K Region,Y
1986,590,burbot,65,294,3,A-Y-K Region,X
1986,610,"grayling, Arctic",809,64872,2,Central Region,T
1987,100,"groundfish, general",0,11,1,Southeastern Region,A
1987,100,"groundfish, general",0,39,1,Southeastern Region,D
1987,110,"cod, Pacific (gray)",0,280,1,Southeastern Region,B
1987,110,"cod, Pacific (gray)",5,200,1,Southeastern Region,C
1987,110,"cod, Pacific (gray)",0,31,1,Southeastern Region,D
1987,130,lingcod,220,14061,1,Southeastern Region,A
1987,130,lingcod,12,5172,1,Southeastern Region,B
1987,130,lingcod,5,1209,1,Southeastern Region,C
1987,130,lingcod,61,45203,1,Southeastern Region,D
1987,139,"rockfish, other",8,18,1,Southeastern Region,C
1987,140,"rockfish, red",88,636,1,Southeastern Region,A
1987,140,"rockfish, red",0,2742,1,Southeastern Region,B
1987,140,"rockfish, red",0,210,1,Southeastern Region,C
1987,140,"rockfish, red",1,2541,1,Southeastern Region,D
1987,142,"rockfish, black",0,129,1,Southeastern Region,A
1987,142,"rockfish, black",1,753,1,Southeastern Region,D
1987,145,"rockfish, yelloweye (red snapper)",0,32,1,Southeastern Region,A
1987,145,"rockfish, yelloweye (red snapper)",0,7,1,Southeastern Region,B
1987,145,"rockfish, yelloweye (red snapper)",0,278,1,Southeastern Region,D
1987,146,"rockfish, canary",0,65,1,Southeastern Region,D
1987,147,"rockfish, quillback",0,215,1,Southeastern Region,B
1987,147,"rockfish, quillback",0,20,1,Southeastern Region,D
1987,149,"rockfish, china",0,70,1,Southeastern Region,D
1987,150,"rockfish, rosethorn",0,23,1,Southeastern Region,D
1987,151,"rockfish, rougheye",0,25,1,Southeastern Region,D
1987,154,"rockfish, dusky",0,18,1,Southeastern Region,D
1987,157,"rockfish, silvergray",2,7,1,Southeastern Region,C
1987,400,"salmon, roe (unknown species)",1,57822,1,Southeastern Region,A
1987,400,"salmon, roe (unknown species)",0,2991,1,Southeastern Region,B
1987,400,"salmon, roe (unknown species)",0,529,1,Southeastern Region,C
1987,400,"salmon, roe (unknown species)",0,25747,1,Southeastern Region,D
1987,400,"salmon, roe (unknown species)",0,127,2,Central Region,H
1987,400,"salmon, roe (unknown species)",58,360,2,Central Region,T
1987,400,"salmon, roe (unknown species)",0,122259,3,A-Y-K Region,Y
1987,410,"salmon, chinook",50891,778056,1,Southeastern Region,A
1987,410,"salmon, chinook",50729,856160,1,Southeastern Region,B
1987,410,"salmon, chinook",38347,530124,1,Southeastern Region,C
1987,410,"salmon, chinook",147750,2780014,1,Southeastern Region,D
1987,410,"salmon, chinook",42049,1141983,2,Central Region,E
1987,410,"salmon, chinook",40619,1164775,2,Central Region,H
1987,410,"salmon, chinook",75399,1514742,2,Central Region,T
1987,410,"salmon, chinook",64729,981481,3,A-Y-K Region,W
1987,410,"salmon, chinook",44,597,3,A-Y-K Region,X
1987,410,"salmon, chinook",131971,2852138,3,A-Y-K Region,Y
1987,410,"salmon, chinook",7080,141494,3,A-Y-K Region,Z
1987,410,"salmon, chinook",4612,59083,4,Westward Region,K
1987,410,"salmon, chinook",2651,49482,4,Westward Region,L
1987,410,"salmon, chinook",23360,434501,4,Westward Region,M
1987,411,"chinook, sm.",135,597,1,Southeastern Region,A
1987,411,"chinook, sm.",746,2559,1,Southeastern Region,B
1987,411,"chinook, sm.",254,1097,1,Southeastern Region,C
1987,411,"chinook, sm.",657,2906,1,Southeastern Region,D
1987,420,"salmon, sockeye",803115,5556146,1,Southeastern Region,A
1987,420,"salmon, sockeye",398503,2499053,1,Southeastern Region,B
1987,420,"salmon, sockeye",154051,1030365,1,Southeastern Region,C
1987,420,"salmon, sockeye",22048,118317,1,Southeastern Region,D
1987,420,"salmon, sockeye",1742059,11670663,2,Central Region,E
1987,420,"salmon, sockeye",9718105,64916188,2,Central Region,H
1987,420,"salmon, sockeye",16068775,95778723,2,Central Region,T
1987,420,"salmon, sockeye",170999,1280931,3,A-Y-K Region,W
1987,420,"salmon, sockeye",207,1409,3,A-Y-K Region,Z
1987,420,"salmon, sockeye",1793820,11268454,4,Westward Region,K
1987,420,"salmon, sockeye",1898838,14001714,4,Westward Region,L
1987,420,"salmon, sockeye",2659263,16703220,4,Westward Region,M
1987,430,"salmon, coho",483938,3715145,1,Southeastern Region,A
1987,430,"salmon, coho",563384,3819849,1,Southeastern Region,B
1987,430,"salmon, coho",74361,527969,1,Southeastern Region,C
1987,430,"salmon, coho",421670,2786602,1,Southeastern Region,D
1987,430,"salmon, coho",175652,1457485,2,Central Region,E
1987,430,"salmon, coho",465547,3078664,2,Central Region,H
1987,430,"salmon, coho",65403,456227,2,Central Region,T
1987,430,"salmon, coho",479093,3459877,3,A-Y-K Region,W
1987,430,"salmon, coho",24311,177806,3,A-Y-K Region,Z
1987,430,"salmon, coho",192802,1623137,4,Westward Region,K
1987,430,"salmon, coho",150414,1189803,4,Westward Region,L
1987,430,"salmon, coho",396904,3019554,4,Westward Region,M
1987,440,"salmon, pink",3242481,11237576,1,Southeastern Region,A
1987,440,"salmon, pink",4224856,16731396,1,Southeastern Region,B
1987,440,"salmon, pink",1541615,5653761,1,Southeastern Region,C
1987,440,"salmon, pink",1271470,4398291,1,Southeastern Region,D
1987,440,"salmon, pink",29358842,102231227,2,Central Region,E
1987,440,"salmon, pink",310820,1085553,2,Central Region,H
1987,440,"salmon, pink",57,219,2,Central Region,T
1987,440,"salmon, pink",163,608,3,A-Y-K Region,W
1987,440,"salmon, pink",2260,6691,3,A-Y-K Region,Z
1987,440,"salmon, pink",5075508,18307210,4,Westward Region,K
1987,440,"salmon, pink",246775,899560,4,Westward Region,L
1987,440,"salmon, pink",1212042,4237560,4,Westward Region,M
1987,450,"salmon, chum",765797,7243947,1,Southeastern Region,A
1987,450,"salmon, chum",1125934,10115176,1,Southeastern Region,B
1987,450,"salmon, chum",138949,1173836,1,Southeastern Region,C
1987,450,"salmon, chum",690984,5580816,1,Southeastern Region,D
1987,450,"salmon, chum",1953777,15177753,2,Central Region,E
1987,450,"salmon, chum",511405,3820706,2,Central Region,H
1987,450,"salmon, chum",1529142,9887048,2,Central Region,T
1987,450,"salmon, chum",601638,4097422,3,A-Y-K Region,W
1987,450,"salmon, chum",109467,900405,3,A-Y-K Region,X
1987,450,"salmon, chum",442238,3013889,3,A-Y-K Region,Y
1987,450,"salmon, chum",102501,731930,3,A-Y-K Region,Z
1987,450,"salmon, chum",682021,5334100,4,Westward Region,K
1987,450,"salmon, chum",127261,943941,4,Westward Region,L
1987,450,"salmon, chum",1744583,12333796,4,Westward Region,M
1987,530,Dolly Varden (general),10,25,1,Southeastern Region,A
1987,540,"trout, steelhead",364,2622,1,Southeastern Region,A
1987,540,"trout, steelhead",2694,23947,1,Southeastern Region,B
1987,540,"trout, steelhead",508,3967,1,Southeastern Region,C
1987,540,"trout, steelhead",55,489,1,Southeastern Region,D
1987,690,"shark, salmon",1,342,1,Southeastern Region,D
1987,710,sablefish (blackcod),0,17,1,Southeastern Region,D
1988,100,"groundfish, general",0,42,1,Southeastern Region,B
1988,110,"cod, Pacific (gray)",0,44,1,Southeastern Region,B
1988,110,"cod, Pacific (gray)",0,23,1,Southeastern Region,C
1988,124,"sole, dover",3,12,2,Central Region,T
1988,130,lingcod,0,21409,1,Southeastern Region,A
1988,130,lingcod,3,5490,1,Southeastern Region,B
1988,130,lingcod,9,1608,1,Southeastern Region,C
1988,130,lingcod,40,41188,1,Southeastern Region,D
1988,131,"sole, petrale",0,1033,2,Central Region,T
1988,139,"rockfish, other",0,25,1,Southeastern Region,B
1988,139,"rockfish, other",0,4,1,Southeastern Region,C
1988,139,"rockfish, other",0,42,1,Southeastern Region,D
1988,140,"rockfish, red",0,522,1,Southeastern Region,A
1988,140,"rockfish, red",3,623,1,Southeastern Region,B
1988,140,"rockfish, red",0,62,1,Southeastern Region,C
1988,140,"rockfish, red",2,1851,1,Southeastern Region,D
1988,142,"rockfish, black",0,1052,1,Southeastern Region,A
1988,142,"rockfish, black",0,12,1,Southeastern Region,B
1988,142,"rockfish, black",0,298,1,Southeastern Region,D
1988,143,"rockfish, thornyhead (idiots)",0,2,1,Southeastern Region,D
1988,145,"rockfish, yelloweye (red snapper)",0,34,1,Southeastern Region,A
1988,145,"rockfish, yelloweye (red snapper)",0,7,1,Southeastern Region,B
1988,145,"rockfish, yelloweye (red snapper)",1,183,1,Southeastern Region,D
1988,145,"rockfish, yelloweye (red snapper)",65,572,2,Central Region,E
1988,145,"rockfish, yelloweye (red snapper)",2,593,2,Central Region,T
1988,147,"rockfish, quillback",0,79,1,Southeastern Region,B
1988,147,"rockfish, quillback",2,69,1,Southeastern Region,D
1988,150,"rockfish, rosethorn",0,73,1,Southeastern Region,D
1988,150,"rockfish, rosethorn",23,175,2,Central Region,E
1988,154,"rockfish, dusky",1,7,1,Southeastern Region,D
1988,155,"rockfish, yellowtail",0,1,1,Southeastern Region,D
1988,155,"rockfish, yellowtail",0,1191,2,Central Region,T
1988,157,"rockfish, silvergray",0,192,1,Southeastern Region,D
1988,400,"salmon, roe (unknown species)",2,67622,1,Southeastern Region,A
1988,400,"salmon, roe (unknown species)",0,7763,1,Southeastern Region,B
1988,400,"salmon, roe (unknown species)",0,1121,1,Southeastern Region,C
1988,400,"salmon, roe (unknown species)",0,21601,1,Southeastern Region,D
1988,400,"salmon, roe (unknown species)",646,3713,2,Central Region,E
1988,400,"salmon, roe (unknown species)",0,597,2,Central Region,H
1988,400,"salmon, roe (unknown species)",61,437,2,Central Region,T
1988,400,"salmon, roe (unknown species)",0,252798,3,A-Y-K Region,Y
1988,410,"salmon, chinook",45727,802471,1,Southeastern Region,A
1988,410,"salmon, chinook",60353,1006776,1,Southeastern Region,B
1988,410,"salmon, chinook",31105,441918,1,Southeastern Region,C
1988,410,"salmon, chinook",106314,2099139,1,Southeastern Region,D
1988,410,"salmon, chinook",31805,836321,2,Central Region,E
1988,410,"salmon, chinook",30774,889169,2,Central Region,H
1988,410,"salmon, chinook",45347,843838,2,Central Region,T
1988,410,"salmon, chinook",74627,1055440,3,A-Y-K Region,W
1988,410,"salmon, chinook",152,2120,3,A-Y-K Region,X
1988,410,"salmon, chinook",100794,1970775,3,A-Y-K Region,Y
1988,410,"salmon, chinook",4096,67148,3,A-Y-K Region,Z
1988,410,"salmon, chinook",22394,296062,4,Westward Region,K
1988,410,"salmon, chinook",7296,128880,4,Westward Region,L
1988,410,"salmon, chinook",27880,476182,4,Westward Region,M
1988,411,"chinook, sm.",142,617,1,Southeastern Region,A
1988,411,"chinook, sm.",500,2275,1,Southeastern Region,B
1988,411,"chinook, sm.",200,839,1,Southeastern Region,C
1988,411,"chinook, sm.",192,843,1,Southeastern Region,D
1988,420,"salmon, sockeye",560507,3811144,1,Southeastern Region,A
1988,420,"salmon, sockeye",791605,4360638,1,Southeastern Region,B
1988,420,"salmon, sockeye",102527,646128,1,Southeastern Region,C
1988,420,"salmon, sockeye",5780,32689,1,Southeastern Region,D
1988,420,"salmon, sockeye",768350,4726389,2,Central Region,E
1988,420,"salmon, sockeye",7164900,46829906,2,Central Region,H
1988,420,"salmon, sockeye",13989796,87710953,2,Central Region,T
1988,420,"salmon, sockeye",150481,1111029,3,A-Y-K Region,W
1988,420,"salmon, sockeye",1252,8588,3,A-Y-K Region,Z
1988,420,"salmon, sockeye",2701276,15488333,4,Westward Region,K
1988,420,"salmon, sockeye",795841,5714452,4,Westward Region,L
1988,420,"salmon, sockeye",3006082,18115103,4,Westward Region,M
1988,430,"salmon, coho",552100,5121777,1,Southeastern Region,A
1988,430,"salmon, coho",293405,2147514,1,Southeastern Region,B
1988,430,"salmon, coho",60031,468433,1,Southeastern Region,C
1988,430,"salmon, coho",141126,1083251,1,Southeastern Region,D
1988,430,"salmon, coho",478531,4619227,2,Central Region,E
1988,430,"salmon, coho",570639,4033987,2,Central Region,H
1988,430,"salmon, coho",202698,1510971,2,Central Region,T
1988,430,"salmon, coho",626145,4479536,3,A-Y-K Region,W
1988,430,"salmon, coho",98142,698301,3,A-Y-K Region,Y
1988,430,"salmon, coho",37247,280658,3,A-Y-K Region,Z
1988,430,"salmon, coho",303343,2569089,4,Westward Region,K
1988,430,"salmon, coho",370420,2889427,4,Westward Region,L
1988,430,"salmon, coho",739506,5555378,4,Westward Region,M
1988,440,"salmon, pink",1127272,3941645,1,Southeastern Region,A
1988,440,"salmon, pink",8863871,28662803,1,Southeastern Region,B
1988,440,"salmon, pink",650629,2200537,1,Southeastern Region,C
1988,440,"salmon, pink",565390,1827400,1,Southeastern Region,D
1988,440,"salmon, pink",11831407,41240357,2,Central Region,E
1988,440,"salmon, pink",1395767,4570655,2,Central Region,H
1988,440,"salmon, pink",955589,3417196,2,Central Region,T
1988,440,"salmon, pink",37671,132547,3,A-Y-K Region,W
1988,440,"salmon, pink",1057,3166,3,A-Y-K Region,Y
1988,440,"salmon, pink",74604,226966,3,A-Y-K Region,Z
1988,440,"salmon, pink",14564014,55023681,4,Westward Region,K
1988,440,"salmon, pink",2997159,10723505,4,Westward Region,L
1988,440,"salmon, pink",7293175,25928834,4,Westward Region,M
1988,450,"salmon, chum",790356,7692961,1,Southeastern Region,A
1988,450,"salmon, chum",1985075,17850798,1,Southeastern Region,B
1988,450,"salmon, chum",284747,2367280,1,Southeastern Region,C
1988,450,"salmon, chum",475416,3978586,1,Southeastern Region,D
1988,450,"salmon, chum",1850523,15842699,2,Central Region,E
1988,450,"salmon, chum",1036520,8516829,2,Central Region,H
1988,450,"salmon, chum",1469715,10200142,2,Central Region,T
1988,450,"salmon, chum",1446618,9955464,3,A-Y-K Region,W
1988,450,"salmon, chum",352833,3059615,3,A-Y-K Region,X
1988,450,"salmon, chum",1309633,9286410,3,A-Y-K Region,Y
1988,450,"salmon, chum",107967,767168,3,A-Y-K Region,Z
1988,450,"salmon, chum",1426976,12692870,4,Westward Region,K
1988,450,"salmon, chum",267775,2196377,4,Westward Region,L
1988,450,"salmon, chum",2302034,17256923,4,Westward Region,M
1988,520,"char, Arctic (general)",6,46,2,Central Region,E
1988,520,"char, Arctic (general)",761,5038,3,A-Y-K Region,X
1988,530,Dolly Varden (general),9,54,1,Southeastern Region,B
1988,540,"trout, steelhead",494,4348,1,Southeastern Region,A
1988,540,"trout, steelhead",3037,27306,1,Southeastern Region,B
